Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Media,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,27.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:00.331241+00:00,hours,,762921.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:00.770748+00:00,hours,,0.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:00.792519+00:00,hours,,164171.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:00.812247+00:00,hours,,59741.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:00.832653+00:00,hours,,0.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:00.852600+00:00,hours,,8372.0
4400,C1-S15-B1.1-R1,None,F,JBEI-17787,,,2% Glucose,5484,C1-S15-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:00.872388+00:00,hours,,8555.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:00.893000+00:00,hours,,307.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:00.918987+00:00,hours,,240185.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:00.939693+00:00,hours,,83972.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:00.960011+00:00,hours,,0.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:00.981359+00:00,hours,,10438.0
4401,C1-S15-B1.1-R2,None,F,JBEI-17787,,,2% Glucose,5485,C1-S15-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:01.001569+00:00,hours,,3483.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:01.021260+00:00,hours,,188.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:01.041857+00:00,hours,,115367.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:01.062049+00:00,hours,,105024.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:01.082848+00:00,hours,,0.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:01.102734+00:00,hours,,21091.0
4402,C1-S16-B1.1-R1,None,F,JBEI-17806,,,2% Glucose,5486,C1-S16-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:01.122414+00:00,hours,,2518.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:01.143554+00:00,hours,,0.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:01.163662+00:00,hours,,84540.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:01.185287+00:00,hours,,73675.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:01.205222+00:00,hours,,0.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:01.225028+00:00,hours,,8954.0
4403,C1-S16-B1.1-R2,None,F,JBEI-17806,,,2% Glucose,5487,C1-S16-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:01.245670+00:00,hours,,0.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:03.393540+00:00,hours,,184852.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:03.418118+00:00,hours,,608802.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:03.437732+00:00,hours,,300131.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:03.457400+00:00,hours,,44506.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:03.478435+00:00,hours,,2045.0
4404,C1-S22-B1.1-R1,None,F,JBEI-17810,,,2% Glucose,5505,C1-S22-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:03.499447+00:00,hours,,0.0
4405,C1-S22-B1.1-R2,None,F,JBEI-17810,,,2% Glucose,5506,C1-S22-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:03.520332+00:00,hours,,170458.0
